diag_category,hcc_1,hcc_2,hcc_3,hcc_4,hcc_5
CANCER,HCC8,HCC9,HCC10,HCC11,HCC12
DIABETES,HCC17,HCC18,HCC19,,
CHF,HCC85,,,,
CARD_RESP_FAIL,HCC82,HCC83,HCC84,,
gCopdCF,HCC110,HCC111,HCC112,,
RENAL_V24,HCC134,HCC135,HCC136,HCC137,HCC138
SEPSIS,HCC2,,,,
gSubstanceUseDisorder_V24,HCC54,HCC55,HCC56,,
gPsychiatric_V24,HCC57,HCC58,HCC59,HCC60,
PRESSURE_ULCER,HCC157,HCC158,HCC159,,
