Variable,Label,CE_NonLowAged,CE_NonLowNonAged,CE_LowAged,CE_LowNonAged,CE_LTI
RXHCC96,"Acquired Hemolytic, Aplastic, and Sideroblastic Anemias",1.076,1.469,1.108,1.344,0.274
RXHCC98,Hereditary Angioedema and Other Defects in the Complement System,6.992,38.627,7.999,38.405,4.374
RXHCC99,Immune Disorders,0.418,0.448,0.831,1.414,0.374
RXHCC100,Immune Thrombocytopenic Purpura,0.449,0.266,2.418,2.726,1.8
RXHCC111,Alzheimer's Disease,,,,,
RXHCC112,"Dementia, Except Alzheimer's Disease",,,,,
RXHCC130,Schizophrenia and Other Psychosis,0.249,0.279,0.949,1.594,0.753
RXHCC131,Bipolar Disorders,0.225,0.151,0.68,0.755,0.629
RXHCC132,Depression,0.04,0.033,0.083,0.212,0.169
RXHCC133,Anxiety and Other Psychiatric Disorders,0.023,0.02,,0.024,
RXHCC146,Profound or Severe Intellectual Disability/Developmental Disorder,0.811,,0.331,0.143,
RXHCC147,Moderate Intellectual Disability/Developmental Disorder,0.811,,0.175,,
RXHCC148,Mild or Unspecified Intellectual Disability/Developmental Disorder,0.811,,0.03,,
RXHCC153,Myasthenia Gravis and Other Myoneural Disorders,2.067,3.552,2.466,4.059,1.073
RXHCC154,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease,3.827,3.734,2.505,3.786,0.549
RXHCC155,Spinal Cord Disorders,0.054,0.113,,0.053,
RXHCC157,Chronic Inflammatory Demyelinating Polyneuritis ,4.803,9.149,6.163,9.272,1.51
RXHCC158,Inflammatory and Toxic Neuropathy,,0.064,,,0.202
RXHCC159,Multiple Sclerosis,0.681,1.127,2.629,4.81,1.376
RXHCC160,Huntington Disease,1.957,2.356,5.473,6.735,5.822
RXHCC161,Parkinson Disease,0.32,0.754,0.592,1.351,1.094
RXHCC163,Intractable Epilepsy,,0.204,0.229,1.798,0.023
RXHCC164,"Epilepsy and Other Seizure Disorders, Except Intractable Epilepsy",,,,,
RXHCC166,Migraine Headaches,0.107,0.18,0.466,0.811,0.687
RXHCC168,Trigeminal and Postherpetic Neuralgia,0.039,0.268,0.134,0.365,
RXHCC183,Pulmonary Arterial Hypertension,1.901,8.9,2.495,8.337,0.638
RXHCC184,"Pulmonary Hypertension, Except Arterial, and Other Pulmonary Heart Disease",0.232,0.419,0.21,0.475,0.327
RXHCC186,Heart Failure,0.163,0.183,0.17,0.249,0.22
RXHCC187,Hypertension,0.045,0.077,0.069,0.161,0.048
RXHCC188,Coronary Artery Disease,0.066,,0.129,,
RXHCC191,Ventricular Septal Defect and Major Congenital Heart Disorders,0.138,0.52,0.506,,
RXHCC193,Atrial Arrhythmias,0.231,0.087,0.237,0.089,0.22
RXHCC207,Spastic Hemiplegia,,0.074,,0.163,
RXHCC215,Venous Thromboembolism,0.257,0.238,0.264,0.353,0.178
RXHCC225,Cystic Fibrosis,8.032,42.156,6.036,41.202,5.26
RXHCC226,Idiopathic Pulmonary Fibrosis and Systemic Sclerosis with Lung Involvement,2.752,3.365,5.621,6.036,1.241
RXHCC227,"Pulmonary Fibrosis, Except Idiopathic",0.273,0.622,0.457,1.103,0.46
RXHCC228,Severe Persistent Asthma,0.904,0.877,3.068,3.51,1.685
RXHCC229,"Chronic Obstructive Pulmonary Disease, Bronchiectasis, and Other Asthma",0.17,0.103,0.365,0.317,0.46
RXHCC243,"Glaucoma, Open-Angle or Moderate/Severe Stage",0.095,0.155,0.269,0.485,0.281
RXHCC244,Other Non-Acute Glaucoma,0.022,0.063,0.072,0.025,0.009
RXHCC260,Kidney Transplant Status,,,,,
RXHCC261,"Dialysis Status, Including End Stage Renal Disease",,,,,
RXHCC262,Chronic Kidney Disease Stage 5,,,,,
RXHCC263,Chronic Kidney Disease Stage 4,,,,,
RXHCC311,"Chronic Ulcer of Skin, Except Pressure",0.071,0.023,0.07,0.016,0.037
RXHCC314,"Pemphigus, Pemphigoid, and Other Bullous Skin Disorders",0.295,0.541,0.997,1.805,0.431
RXHCC316,"Psoriasis, Except with Arthropathy",0.198,0.393,2.104,3.443,1.427
RXHCC317,Discoid Lupus Erythematosus,0.064,,,,
RXHCC355,Narcolepsy and Cataplexy,0.888,2.987,2.211,4.675,0.898
RXHCC395,"Stem Cell, Including Bone Marrow, Transplant Status/Complications",3.93,3.941,5.263,3.899,3.069
RXHCC396,"Heart, Lung, Liver, Intestine, or Pancreas Transplant Status",,,,,
NONAGED_RXHCC1,NonAged * HIV/AIDS,,,,,1.715
NONAGED_RXHCC130,NonAged * Schizophrenia and Other Psychosis,,,,,1.009
NONAGED_RXHCC131,NonAged * Bipolar Disorders,,,,,0.394
NONAGED_RXHCC132,NonAged * Depression,,,,,0.206
NONAGED_RXHCC133,NonAged * Anxiety and Other Psychiatric Disorders,,,,,
NONAGED_RXHCC159,NonAged * Multiple Sclerosis,,,,,1.361
NONAGED_RXHCC163,NonAged * Intractable Epilepsy,,,,,0.297
